ISO_C3,ISO_N3,cntry.name,region,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS
AFG,4,Afghanistan,_EECA,0,0,0,0,1,0
ALB,8,Albania,_EECA,0,0,0,0,1,0
DZA,12,Algeria,_MENA,1,0,0,0,0,0
AGO,24,Angola,_SSAF,0,1,0,0,0,0
AZE,31,Azerbaijan,_EECA,0,0,0,0,1,0
ARG,32,Argentina,_LAC,0,0,1,0,0,0
AUS,36,Australia,_WEOFF,0,0,0,1,0,0
AUT,40,Austria,_WEOFF,0,0,0,1,0,0
BHS,44,Bahamas,_LAC,0,0,1,0,0,0
BGD,50,Bangladesh,_SEAS,0,0,0,0,0,1
ARM,51,Armenia,_EECA,0,0,0,0,1,0
BEL,56,Belgium,_WEOFF,0,0,0,1,0,0
BTN,64,Bhutan,_SEAS,0,0,0,0,0,1
BOL,68,Bolivia,_LAC,0,0,1,0,0,0
BIH,70,Bosnia & Herzegovina,_EECA,0,0,0,0,1,0
BWA,72,Botswana,_SSAF,0,1,0,0,0,0
BRA,76,Brazil,_LAC,0,0,1,0,0,0
BLZ,84,Belize,_LAC,0,0,1,0,0,0
SLB,90,Solomon Islands,_SEAS,0,0,0,0,0,1
BRN,96,Brunei,_SEAS,0,0,0,0,0,1
BGR,100,Bulgaria,_EECA,0,0,0,0,1,0
MMR,104,Myanmar (Burma),_SEAS,0,0,0,0,0,1
BDI,108,Burundi,_SSAF,0,1,0,0,0,0
BLR,112,Belarus,_EECA,0,0,0,0,1,0
KHM,116,Cambodia,_SEAS,0,0,0,0,0,1
CMR,120,Cameroon,_SSAF,0,1,0,0,0,0
CAN,124,Canada,_WEOFF,0,0,0,1,0,0
CPV,132,Cape Verde,_SSAF,0,1,0,0,0,0
CAF,140,Central African Republic,_SSAF,0,1,0,0,0,0
LKA,144,Sri Lanka,_SEAS,0,0,0,0,0,1
TCD,148,Chad,_SSAF,0,1,0,0,0,0
CHL,152,Chile,_LAC,0,0,1,0,0,0
CHN,156,China,_SEAS,0,0,0,0,0,1
COL,170,Colombia,_LAC,0,0,1,0,0,0
COM,174,Comoros,_SSAF,0,1,0,0,0,0
COG,178,Congo - Brazzaville,_SSAF,0,1,0,0,0,0
COD,180,Congo - Kinshasa,NA,NA,NA,NA,NA,NA,NA
CRI,188,Costa Rica,_LAC,0,0,1,0,0,0
HRV,191,Croatia,_EECA,0,0,0,0,1,0
